company_name,company_number,company_status,sic_codes,last_accounts_type,postal_code,date_of_creation,confidence,match_type,is_chain,chain_branch_count
GLOW WORM HEATING LTD,8612220,active,"46740,43220",small,TN1 1AA,2012-01-22,78,core SIC + keyword,False,1
POTTERTON HEATING LTD,3997281,active,"46740,43220",small,OX1 1AA,2025-01-28,84,core SIC + keyword,False,1
STELRAD RADIATOR GROUP LTD,6007072,active,"46740,43220",small,MK1 1AA,2002-06-14,43,core SIC only,False,1
DIMPLEX UK LTD,3564217,active,"46740,43220",small,CB1 1AA,1987-06-21,46,core SIC only,False,1
CENTRAL HEATING SUPPLIES LTD,9897858,active,"46740,43220",small,IP1 1AA,2008-06-13,82,core SIC + keyword,False,1
SOUTHERN HEATING SUPPLIES LTD,1326765,active,"46740,43220",small,NR1 1AA,2025-03-13,85,core SIC + keyword,False,1
NORTH WEST HEATING SUPPLIES LTD,6159230,active,"46740,43220",small,CO1 1AA,2020-03-16,96,core SIC + keyword,False,1
RADIANT HEATING SOLUTIONS LTD,2321324,active,"46740,43220",small,CM1 1AA,2014-06-25,68,core SIC + keyword,False,1
VICTORIA PLUMB LTD,9937326,active,"46740,47520",small,SS1 1AA,2021-05-19,77,core SIC + keyword,False,1
BATHSTORE LTD,8973915,active,"46740,47520",small,LU1 1AA,1990-11-14,68,core SIC + keyword,True,347
IDEAL BATHROOMS LTD,9852897,active,"46740,47520",small,AL1 1AA,2000-07-24,73,core SIC + keyword,False,1
SANCTUARY BATHROOMS LTD,4374754,active,"46740,47520",small,SG1 1AA,1998-01-05,79,core SIC + keyword,False,1
CROSSWATER LTD,7693979,active,"46740,47520",small,HP1 1AA,1993-03-30,49,core SIC only,False,1
HERITAGE BATHROOMS LTD,9683481,active,"46740,47520",small,EX1 1AA,1995-02-04,85,core SIC + keyword,False,1
MERLYN SHOWERING LTD,4769795,active,"46740,47520",small,PL1 1AA,2004-12-20,70,core SIC + keyword,False,1
MATKI PLC,1352896,active,"46740,47520",small,TQ1 1AA,2022-05-08,50,core SIC only,False,1
ROMAN SHOWERS LTD,4694634,active,"46740,47520",small,TA1 1AA,1998-11-01,85,core SIC + keyword,False,1
JACUZZI UK GROUP LTD,1987737,active,"46740,47520",small,BA1 1AA,2024-11-25,42,core SIC only,False,1
PIMLICO PLUMBERS LTD,2188789,active,43220,small,GL1 1AA,2014-12-15,63,core SIC + keyword,True,179
DYNO-ROD LTD,9143903,active,43220,small,SN1 1AA,2002-02-28,47,core SIC only,True,152
BRITISH GAS SERVICES LTD,8930103,active,43220,small,SP1 1AA,2015-08-12,44,core SIC only,False,1
HOMESERVE PLUMBING & DRAINS LTD,7829332,active,43220,small,DT1 1AA,2014-04-28,100,core SIC + keyword,False,1
ASPECT PLUMBING & HEATING LTD,8231838,active,43220,small,BH1 1AA,2016-09-06,66,core SIC + keyword,False,1
WARMAWAY HEATING SYSTEMS LTD,8835373,active,43220,total-exemption-small,WR1 1AA,2009-05-01,86,core SIC + keyword,False,1
AQUAFLOW PLUMBING SERVICES LTD,2651177,active,43220,total-exemption-small,CV1 1AA,1986-06-22,82,core SIC + keyword,False,1
DRAINFAST LTD,6692553,active,43220,total-exemption-small,DY1 1AA,2022-07-03,95,core SIC + keyword,False,1
WASTEWATER SOLUTIONS LTD,5171761,active,43220,total-exemption-small,WS1 1AA,1989-04-24,43,core SIC only,False,1
SCREWFIX DIRECT LTD,8526486,active,47520,total-exemption-small,WV1 1AA,2016-08-17,46,core SIC only,True,284
TOOLSTATION LTD,5673212,active,47520,total-exemption-small,ST1 1AA,2018-12-08,53,core SIC only,True,103
WICKES BUILDING SUPPLIES LTD,8434500,active,47520,total-exemption-small,SK1 1AA,2004-06-21,47,core SIC only,True,48
SELCO BUILDERS WAREHOUSE LTD,1247595,active,47520,total-exemption-small,CW1 1AA,1988-12-23,43,core SIC only,True,35
BUILDBASE LTD,3790237,active,47520,total-exemption-small,CH1 1AA,2021-01-14,47,core SIC only,False,1
TRAVIS PERKINS TRADING CO LTD,4586084,active,47520,total-exemption-small,WA1 1AA,2006-12-29,55,core SIC only,True,256
JEWSON LTD,3762152,active,47520,medium,PR1 1AA,1986-06-09,52,core SIC only,True,40
MKM BUILDING SUPPLIES LTD,5449368,active,47520,medium,BB1 1AA,2008-03-22,40,core SIC only,True,209
HUWS GRAY LTD,5785687,active,47520,medium,OL1 1AA,1990-01-19,54,core SIC only,False,1
FERNOX LTD,9164991,active,"25210,22230",medium,BL1 1AA,2006-04-01,22,other,False,1
POLYPIPE GROUP LTD,5977931,active,"25210,22230",medium,FY1 1AA,2018-04-12,26,keyword only,False,1
WAVIN LTD,2022698,active,"25210,22230",medium,LA1 1AA,2015-06-17,6,other,False,1
HEPWORTH BUILDING PRODUCTS LTD,1959074,active,"25210,22230",medium,CA1 1AA,1991-09-03,15,other,False,1
MARLEY PLUMBING & DRAINAGE LTD,8999183,active,"25210,22230",medium,DL1 1AA,2022-12-22,38,keyword only,False,1
ALIAXIS UK LTD,3641282,active,"25210,22230",full,DH1 1AA,2002-09-01,21,other,False,1
GEBERIT SALES LTD,2344047,active,"25210,22230",full,TS1 1AA,2022-09-03,21,other,False,1
GROHE LTD,2149597,active,"25210,22230",full,SR1 1AA,1987-01-13,10,other,False,1
HANSGROHE UK LTD,4946066,active,"25210,22230",full,YO1 1AA,1998-07-13,7,other,False,1
ROCA LTD,5130808,active,"25210,22230",full,HG1 1AA,2007-02-10,8,other,False,1
MIRA SHOWERS LTD,1666754,active,"25210,22230",full,HD1 1AA,1999-04-03,39,keyword only,False,1
AQUALISA PRODUCTS LTD,8033426,active,"25210,22230",full,HX1 1AA,1997-06-10,7,other,False,1
TRITON SHOWERS LTD,9770838,active,"25210,22230",full,AB1 1AA,1995-09-26,38,keyword only,False,1
BRISTAN GROUP LTD,4426900,active,"46740,46730,43290",full,DD1 1AA,2011-01-12,48,core SIC only,False,1
PEGLER YORKSHIRE GROUP LTD,5004485,active,"46740,46730,43290",full,KY1 1AA,1995-03-08,50,core SIC only,False,1
RELIANCE WATER CONTROLS LTD,3195773,active,"46740,46730,43290",group,FK1 1AA,2013-04-23,52,core SIC only,False,1
SALAMANDER PUMPS LTD,8670955,active,"46740,46730,43290",group,PA1 1AA,1995-02-04,49,core SIC only,False,1
GRUNDFOS PUMPS LTD,1156287,active,"46190,70100,82990",group,ML1 1AA,2011-01-15,7,other,False,1
XYLEM WATER SOLUTIONS UK LTD,2677407,active,"46190,70100,82990",group,KA1 1AA,2004-08-31,24,other,False,1
FERGUSON ENTERPRISES LTD,4576135,active,"46190,70100,82990",group,IV1 1AA,2021-12-08,22,other,False,1
GRAFTON GROUP PLC,3222252,active,"46190,70100,82990",dormant,PH1 1AA,2002-07-13,13,other,False,1
HEADLAM GROUP PLC,5098412,active,"46190,70100,82990",dormant,LL1 1AA,2009-07-26,7,other,False,1
SIG PLC,3646552,active,"46190,70100,82990",dormant,SA1 1AA,2008-08-24,14,other,False,1
IBSTOCK PLC,6075395,active,"46190,70100,82990",dormant,NP1 1AA,2005-07-26,22,other,False,1
GENUIT GROUP PLC,9874152,active,"46190,70100,82990",unaudited-abridged,LD1 1AA,1997-10-14,25,other,False,1
ALUMASC GROUP PLC,6022741,active,"46190,70100,82990",unaudited-abridged,SY1 1AA,2024-11-14,22,other,False,1
NORCROS PLC,3253031,active,"46190,70100,82990",unaudited-abridged,HR1 1AA,1995-06-20,8,other,False,1
